story_id,original_config_name,test_type,genre,structure,temperature,seed,is_baseline,distinct_avg,diversity_group_score,alpha_genre,alpha_value,distinct_score,self_bleu_group,one_minus_self_bleu,avg_semantic_continuity,semantic_continuity_sentence_count,semantic_continuity_std,low_continuity_points,high_continuity_segments,semantic_continuity_median,semantic_continuity_max,semantic_continuity_min,pseudo_ppl,err_per_100w,error_count,fluency_word_count,correlation_coefficient,direction_consistency,classification_agreement,roberta_avg_score,reagan_classification,chapter_count,major_disagreements,roberta_std,labmt_std,emotion_correlation,roberta_scores_str,labmt_scores_str,tp_coverage,tp_m,tp_n,tp_completion_rate,li_function_diversity,total_events,total_words,total_sentences,wall_time_sec,peak_mem_mb,tokens_total,cost_usd,diversity_score_seed
sciencefiction_nonlinear_T0.9_s3,thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s3,regression,sciencefiction,nonlinear,0.9,3,0,0.6508979353979354,0.0573023997510586,0.6,0.6,0.2102721051049234,0.1016856507679947,0.8983143492320053,0.3413,392.0,0.1865329663074308,56.0,21.0,0.3213619887828827,0.930306077003479,-0.0971426144242286,2.660314243520548,0.4471858134155744,29.0,6294.0,0.3229,0.3229,False,-0.3554539732138316,Cinderella,5.0,4.0,0.2049212199846565,0.0295006033836597,0.3229485579974679,"-0.4442,-0.1797,-0.6485,-0.0734,-0.4314","0.1151,0.1733,0.1115,0.1274,0.1808",5/5,5.0,5.0,1.0,8.0,53.0,6515.0,385.0,424.70657992362976,40.828125,58295.0,0.87005,0.7330314353096097
sciencefiction_linear_T0.9_s2,thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s2,regression,sciencefiction,linear,0.9,2,0,0.6595188739831598,0.6397821143386578,0.6,0.6,0.3995030593501035,0.1018731357485578,0.8981268642514422,0.3359,458.0,0.1698858552947246,72.0,26.0,0.3276967108249664,0.863666296005249,-0.0379738435149192,2.9910890462531725,0.7913090128755365,59.0,7245.0,0.7187,0.7187,False,-0.1977277593159334,Icarus,8.0,4.0,0.2979963118479824,0.0381898546737219,0.7188147372396246,"0.3765,-0.2149,-0.1189,-0.0699,-0.4453,-0.01,-0.6321,-0.4672","0.2165,0.1997,0.1395,0.188,0.1809,0.2343,0.1243,0.1324",5/5,5.0,5.0,1.0,9.0,47.0,7484.0,451.0,487.34513211250305,42.8125,66613.0,1.0281100000000003,0.7307431140681697
sciencefiction_nonlinear_T0.9_s2,thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.9_s2,regression,sciencefiction,nonlinear,0.9,2,0,0.6563775866990152,0.0573023997510586,0.6,0.6,0.3305513107138559,0.1333572250233371,0.8666427749766629,0.3705,413.0,0.1651682065439011,57.0,18.0,0.3551362603902817,0.8689050674438477,-0.0285634286701679,2.6999703977423084,0.245331879514788,18.0,7084.0,0.5415,0.5415,False,0.0305318128494989,Oedipus,7.0,2.0,0.2807035279654405,0.0522060126336233,0.5418679760077875,"0.5761,0.0494,-0.4533,0.0542,-0.0549,-0.0545,0.0967","0.1542,0.1288,0.0445,0.2127,0.1913,0.1046,0.1626",5/5,5.0,5.0,1.0,8.0,56.0,7366.0,403.0,444.91713404655457,80.25,67471.0,1.0119299999999996,0.710430712856087
sciencefiction_linear_T0.9_s3,thelittleredridinghood_sciencefictionrewrite_linear_T0.9_s3,regression,sciencefiction,linear,0.9,3,0,0.6590618131868131,0.6397821143386578,0.6,0.6,0.3894705031747263,0.0989473386229329,0.9010526613770672,0.3968,347.0,0.1719452029718328,57.0,28.0,0.3895500600337982,0.8660053014755249,0.0091946776956319,2.5008221883856296,0.1071811361200428,7.0,6279.0,0.5423,0.5423,False,-0.0263875700952686,Man in a hole,7.0,2.0,0.2234397677136242,0.0620182428723967,0.5420061957419386,"-0.2121,-0.4059,0.0576,-0.1486,0.0686,0.1548,0.3009","0.1938,0.0598,0.0987,0.0214,0.1286,0.151,0.2017",5/5,5.0,5.0,1.0,8.0,77.0,6552.0,344.0,398.3604409694672,61.15625,45913.0,0.7390100000000002,0.7326118124781782
sciencefiction_nonlinear_T0.7_s2,thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s2,regression,sciencefiction,nonlinear,0.7,2,0,0.6733632367632368,0.8206709584562817,0.6,0.6,0.7033889940301785,0.0125271479320445,0.9874728520679554,0.3794,158.0,0.1716221048694848,27.0,13.0,0.3922844529151916,0.83234703540802,-0.0287213325500488,2.4722991539256904,0.2398081534772182,7.0,2843.0,0.0074,0.0074,False,-0.014202529650468,Cinderella,6.0,2.0,0.2473884978912497,0.0641911403544134,0.0074895389257198,"-0.3353,0.0788,0.3234,-0.0448,0.2086,-0.3157","0.1912,0.1615,0.2757,0.1588,0.0567,0.1782",5/5,5.0,5.0,1.0,8.0,20.0,2928.0,155.0,217.5330991744995,80.203125,32585.0,0.51925,0.8250206047408237
sciencefiction_nonlinear_T0.3_s3,thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s3,regression,sciencefiction,nonlinear,0.3,3,0,0.6539012237762237,0.5870579247744794,0.6,0.6,0.2761947561108138,0.0651817391110232,0.9348182608889768,0.3744,248.0,0.1762147650256639,37.0,14.0,0.378149539232254,0.8822891712188721,0.0091475788503885,2.5424727312480746,0.2318034306907742,10.0,4228.0,0.48,0.48,False,-0.1711908872922261,Man in a hole,5.0,3.0,0.214873134663224,0.0522289038751532,0.4797916361302742,"-0.3144,-0.2778,-0.0514,-0.403,0.1906","0.0986,0.1151,0.1679,0.006,0.0956",5/5,5.0,5.0,1.0,9.0,50.0,4337.0,243.0,310.34806180000305,84.8125,44484.0,0.7022199999999998,0.7706124055644854
sciencefiction_linear_T0.3_s2,thelittleredridinghood_sciencefictionrewrite_linear_T0.3_s2,regression,sciencefiction,linear,0.3,2,0,0.6626661338661339,0.5668757902724872,0.6,0.6,0.4685859074675363,0.08458315729295,0.91541684270705,0.3578,324.0,0.1656110185114035,55.0,23.0,0.3631850481033325,0.819748044013977,-0.0715024173259735,2.7244728907924203,0.2481863306605574,13.0,5118.0,0.3326,0.3326,False,0.0110590403192895,Oedipus,7.0,3.0,0.4150915551823157,0.0356976875715946,0.3322029258075973,"-0.0392,0.2136,-0.651,0.0259,-0.0853,-0.2128,0.8263","0.1875,0.1042,0.1212,0.1757,0.1259,0.1946,0.1915",5/5,5.0,5.0,1.0,9.0,33.0,5285.0,316.0,331.59489727020264,83.671875,43690.0,0.6996399999999999,0.7577685693882608
sciencefiction_linear_T0.7_s3,thelittleredridinghood_sciencefictionrewrite_linear_T0.7_s3,regression,sciencefiction,linear,0.7,3,0,0.6821974900099901,0.7602168782486654,0.6,0.6,0.8973022385569268,0.0611005240194332,0.9388994759805668,0.378,233.0,0.1687937867067419,39.0,15.0,0.3718354701995849,0.8979101181030273,-0.0227651391178369,2.8527149767266904,1.374733349134866,58.0,4086.0,-0.5888,0.5888,False,-0.056664814154307,Oedipus,5.0,1.0,0.193435287370221,0.0322427418188962,-0.5890062381659426,"0.1843,-0.3997,-0.0528,0.0495,-0.0646","0.138,0.1935,0.1621,0.1501,0.227",5/5,5.0,5.0,1.0,9.0,48.0,4241.0,229.0,276.0048608779907,51.25,30528.0,0.49706,0.7811061378104502
sciencefiction_nonlinear_T0.3_s2,thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.3_s2,regression,sciencefiction,nonlinear,0.3,2,0,0.6581517328825021,0.5870579247744794,0.6,0.6,0.369494097737888,0.074472394985347,0.925527605014653,0.3576,391.0,0.1813699900246538,57.0,24.0,0.3495498746633529,0.9043691754341124,-0.0823925733566284,2.8747416972969475,0.4177691129369169,30.0,6986.0,0.3471,0.3471,False,-0.2682599780105409,Cinderella,7.0,5.0,0.296844064059477,0.0634093374956137,0.3470196239949156,"-0.4224,-0.5648,0.3186,-0.4386,-0.3508,-0.453,0.033","0.1062,0.2206,0.2598,0.1725,0.3067,0.1448,0.1874",5/5,5.0,5.0,1.0,5.0,51.0,7211.0,380.0,462.7005498409271,42.4375,59577.0,0.9412500000000004,0.7440294333339291
sciencefiction_nonlinear_T0.7_s3,thelittleredridinghood_sciencefictionrewrite_nonlinear_T0.7_s3,regression,sciencefiction,nonlinear,0.7,3,0,0.6647125097125097,0.8206709584562817,0.6,0.6,0.513504178294529,0.0870709810136519,0.9129290189863482,0.3714,548.0,0.1783896319023206,77.0,35.0,0.3577698171138763,0.9152814745903016,-0.0118347508832812,2.900782123089293,0.113098910137775,11.0,9348.0,0.2952,0.2952,False,-0.3165029748177632,Icarus,7.0,6.0,0.2663214782850199,0.0630543950466093,0.2954188734640585,"0.0806,-0.4928,-0.1615,-0.8067,-0.1781,-0.219,-0.4379","0.1645,0.0443,0.1682,0.1685,0.1274,0.2387,0.0589",5/5,5.0,5.0,1.0,8.0,91.0,9758.0,535.0,528.5497798919678,84.953125,66062.0,1.0393800000000004,0.733018174037853
